Id,Title,Genres,Popularity,Release Date,Original Language,Vote Average,Vote Count,Overview
10191,How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",57.904,2010-03-18,en,7.807,11881,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast â€“ which he names Toothless â€“ much to the chagrin of his warrior father."
100,"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']",10.564,1998-08-28,en,8.13,5968,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.
59440,Warrior,"['Drama', 'Action']",43.844,2011-09-09,en,7.832,4091,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament â€“ a path that puts the fighter on a collision course with his estranged, older brother."
10386,The Iron Giant,"['Family', 'Animation', 'Science Fiction', 'Drama']",45.98,1999-08-06,en,7.924,4998,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices."
18491,"Shin seiki Evangelion GekijÃ´-ban: Air/Magokoro wo, kimi ni","['Animation', 'Science Fiction', 'Action']",38.371,1997-07-19,ja,8.35,1317,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities."
348892,Bajrangi Bhaijaan,"['Comedy', 'Drama', 'Action']",13.351,2015-07-17,hi,7.8,412,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.
1059,Kakushi-toride no san-akunin,"['Adventure', 'Drama', 'Action', 'Comedy']",10.17,1958-12-28,ja,8.0,518,"Japanese peasants Matashichi and Tahei try and fail to make a profit from a tribal war. They find a man and woman whom they believe are simple tribe members hiding in a fortress. Although the peasants don't know that Rokurota is a general and Yuki is a princess, the peasants agree to accompany the pair to safety in return for gold. Along the way, the general must prove his expertise in battle while also hiding his identity."
15794,White Heat,"['Crime', 'Drama', 'Thriller']",9.77,1949-09-02,en,7.699,404,"A psychopathic criminal with a mother complex makes a daring break from prison and then leads his old gang in a chemical plant payroll heist. After the heist, events take a crazy turn."
961,The General,"['Comedy', 'War']",12.311,1926-12-25,en,8.0,1056,"During Americaâ€™s Civil War, Union spies steal engineer Johnny Gray's beloved locomotive, 'The General'â€”with Johnnie's lady love aboard an attached boxcarâ€”and he single-handedly must do all in his power to both get The General back and to rescue Annabelle."
19703,A Wednesday,"['Drama', 'Thriller']",7.063,2008-09-05,hi,6.946,269,"A retired police commissioner recounts the most memorable case of his career, wherein he was informed about a bomb scare in Mumbai."
12259,Sholay,['Action'],11.703,1975-08-15,hi,6.994,231,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
411404,Major,['Documentary'],1.4,2015-11-15,en,7.7,3,"MAJOR! follows the life and campaigns of Miss Major Griffin-Gracy, a 73-year-old Black transgender woman who has been fighting for the rights of trans women of color for over 40 years."
